Player,Nation,Position,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Ast/90,npG/90,npG+A/90,xA/90,npxG/90,npxG+xA/90,Shots/90,SoTs/90,SoT%,Gls/Shot,Gls/SoT,AvgShotDist,FKSht/90,npxG/Shot,np:G-xG,PassCmp/90,PassAtt/90,PassCmp%,TotDistPass/90,PrgDistPass/90,ShortCmp/90,ShortAtt/90,ShortCmp%,MedCmp/90,MedAtt/90,MedCmp%,LongCmp/90,LongAtt/90,LongCmp%,KeyPass/90,PassIntoThird/90,PassIntoBox/90,CrossIntoBox/90,ProgPass/90,LivePassAtt/90,DeadPassAtt/90,FKPassAtt/90,TBCmp/90,PassUnderPress/90,Switches/90,Crosses/90,GroundPass/90,LowPass/90,HighPass/90,LeftPass/90,RightPass/90,HeadPass/90,ThrowPass/90,OtherPartPass/90,OffsidePass/90,OutOBPass/90,PassesInt/90,PassesBlk/90,SCA/90,PassLiveSCA/90,PassDeadSCA/90,DribSCA/90,ShSCA/90,FoulSCA/90,DefSCA/90,GCA/90,PassLiveGCA/90,PassDeadGCA/90,DribGCA/90,ShGCA/90,FoulGCA/90,DefGCA/90,TklAtt/90,TklW/90,Def 3rdTkl/90,Mid 3rdTkl/90,Att 3rdTkl/90,TklvDribW/90,TklvDribAtt/90,Tkl%vDrib,DribPast/90,PressAtt/90,SuccPress/90,PressSucc%,Def 3rdPress/90,Mid 3rdPress/90,Att 3rdPress/90,Blocks/90,ShotBlocks/90,PassBlk/90,Interceptions/90,Clearances/90,ErrToShot/90,Touches/90,Def PenTchs/90,Def 3rdTchs/90,Mid 3rdTchs/90,Att 3rdTchs/90,Att PenTchs/90,%TchsDefPen,%TchsDefThrd,%TchsMidThrd,%TchsAttThrd,%TchsAttPen,LiveTchs/90,SuccDrib/90,AttDrib/90,DribSucc%,PlayersDribPast/90,Megs/90,Carries/90,TotDistCarry/90,PrgDistCarry/90,ProgCarry/90,CarryIntoThird/90,CarryIntoBox/90,Miscontrol/90,Dispossessed/90,PassTarget/90,PassesReceived/90,PassRec%,ProgPassReceived/90
Ismael Aaneba,fr FRA,Right-Back,"FW,DF",Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,,,,,0,,0,20,20,100,570,150,0,0,,10,10,100,10,10,100,0,0,0,0,0,20,0,0,0,0,10,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,20,0,0,10,10,0,0,0,0,0,20,0,40,20,40,10,0,0,0.5,1,0.25,0,0,40,0,0,,0,0,20,100,40,0,0,0,0,0,30,10,33.3,0
Patrik Schick,cz CZE,Centre-Forward,FW,Leverkusen,de Bundesliga,24,1996,29,20,"1,866",20.7,0.05,0.43,0.48,0.11,0.47,0.58,2.75,1.11,40.4,0.16,0.39,11.3,0.05,0.17,-0.03,15,20.8,72.3,208.9,28.6,8.7,11.3,76.9,4.54,6.43,70.7,0.72,1.01,71.4,1.01,0.48,0.1,0,0.77,19.3,1.45,0,0,7.34,0,0.24,11.6,5.56,3.62,11.9,3.09,1.88,0.19,0.87,0,0.14,0.58,0.48,2.22,1.59,0,0.24,0.24,0.14,0,0.29,0.19,0,0.05,0,0.05,0,0.68,0.39,0.05,0.34,0.29,0.05,0.34,14.3,0.29,11,2.9,26.4,0.24,4.15,6.57,0.48,0.29,0.19,0.1,0.82,0,31.8,1.16,1.88,15.7,15.5,5.7,0.036477987,0.059119497,0.493710692,0.487421384,0.179245283,30.3,1.21,1.84,65.8,1.26,0.1,16.7,69.4,28.7,1.4,0.43,0.68,2.85,1.4,48,24.1,50.3,8.79
Issah Abbas,gh GHA,Centre-Forward,"DF,FW",Mainz 05,de Bundesliga,21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,,,,,0,,0,65,75,86.7,1300,530,30,35,85.7,25,30,83.3,10,10,100,0,5,0,0,5,60,15,0,0,0,0,0,50,20,5,0,60,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,15,0,0,0,5,10,0,0,0,0,0,0,90,0,25,30,40,5,0,0.277777778,0.333333333,0.444444444,0.055555556,75,5,10,50,10,0,55,235,200,10,5,0,0,5,60,55,91.7,10
Yunus Mallı,tr TUR,Attacking Midfield,MF,Wolfsburg,de Bundesliga,28,1992,1,1,58,0.6,0,0,0,0.22,0,0.22,0,0,,,,,0,,0,18.3,21.7,84.6,340,103.3,6.67,6.67,100,10,11.7,85.7,1.67,3.33,50,3.33,3.33,1.67,0,3.33,20,1.67,0,0,1.67,0,0,16.7,3.33,1.67,1.67,20,0,0,0,0,0,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,1.67,3.33,0,0,0,0,0,0,33.3,0,5,23.3,11.7,1.67,0,0.15015015,0.6996997,0.351351351,0.05015015,31.7,0,3.33,0,0,0,25,75,38.3,1.67,1.67,0,0,5,48.3,28.3,58.6,5
Sacha Boey,fr FRA,Right-Back,DF,Rennes,fr Ligue 1,19,2000,2,2,124,1.4,0,0,0,0.06,0.09,0.14,0.71,0,0,0,,14.2,0,0.12,-0.07,54.3,63.6,85.4,1032.1,342.9,24.3,27.1,89.5,22.9,26.4,86.5,6.43,8.57,75,0.71,1.43,0.71,0.71,5.71,50.7,12.9,0.71,0,8.57,0,1.43,37.9,14.3,11.4,7.86,37.9,4.29,12.1,0,0,2.14,1.43,1.43,0.71,0.71,0,0,0,0,0,0,0,0,0,0,0,0,3.57,2.86,1.43,1.43,0.71,0.71,1.43,50,0.71,15,7.86,52.4,5.71,4.29,5,1.43,0,1.43,0.71,1.43,0,75,0,20,40,17.1,1.43,0,0.266666667,0.533333333,0.228,0.019066667,62.1,0,1.43,0,0.71,0,40,97.9,43.6,1.43,0,0,2.14,1.43,45.7,42.9,93.8,1.43
Mehdi Abeid,dz ALG,Central Midfield,MF,Nantes,fr Ligue 1,27,1992,18,15,"1,320",14.7,0,0,0,0.05,0.07,0.12,1.36,0,0,0,,22.9,0.07,0.05,-0.07,41.9,49.3,85,829.5,200.7,16.8,17.9,93.9,17,19.3,88,7.01,10.5,66.9,0.82,4.08,0.48,0.27,2.86,46,3.33,2.18,0.07,5.65,2.24,1.43,37,4.76,7.55,6.8,40.1,1.29,0.2,0.27,0.34,1.02,0.68,0.48,1.9,1.22,0.27,0.14,0,0.14,0.14,0.07,0.07,0,0,0,0,0,2.52,1.63,1.09,1.22,0.2,0.75,1.7,44,0.95,16.7,5.78,34.7,5.1,9.05,2.52,1.22,0.14,1.09,1.56,0.95,0.07,59.3,1.77,15.2,37.5,11.8,0.88,0.029848229,0.256323777,0.63237774,0.198988196,0.014839798,56.1,1.56,2.18,71.9,1.56,0,40.5,237.1,114.9,4.08,1.5,0.07,0.41,1.22,42.7,38.4,90,0.95
Laurent Abergel,fr FRA,Defensive Midfield,MF,Lorient,fr Ligue 1,27,1993,38,32,"2,963",32.9,0.03,0.09,0.12,0.04,0.04,0.08,0.91,0.3,33.3,0.1,0.3,25.9,0,0.04,0.05,40.4,48.4,83.5,785.3,198.2,16.1,18.3,87.9,17.5,19.4,90,6.08,8.78,69.2,0.64,3.43,0.52,0.12,3.37,47,1.4,1.12,0.06,9.67,1.61,0.55,35.7,6.02,6.69,4.16,42.3,1.37,0.21,0.15,0.15,0.85,1.52,0.85,1.7,1.22,0.03,0.03,0.15,0.12,0.15,0.27,0.18,0,0,0.03,0.03,0.03,4.86,3.28,1.98,2.4,0.49,1.58,5.41,29.2,3.83,29.1,8.18,28.1,9.82,16.4,2.92,1.55,0.18,1.37,1.4,0.4,0,60,1.22,15.6,38.6,9.39,0.52,0.020333333,0.26,0.643333333,0.1565,0.008666667,58.7,0.67,0.94,71,0.67,0,41.4,176.1,87.9,3.25,1.03,0.09,1.25,1.4,43.4,40.2,92.6,1.43
Charles Abi,fr FRA,Centre-Forward,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,24,9,912,10.1,0.2,0.3,0.49,0.03,0.21,0.24,1.88,0.4,21.1,0.16,0.75,11.8,0,0.11,0.09,14.3,21.2,67.3,188,33.1,8.32,10.8,77.1,3.66,5.15,71.2,0.59,1.98,30,0.79,0.89,0.5,0,1.09,19.7,1.49,0,0.1,7.62,0.2,0.4,13.9,3.27,4.06,14.1,2.57,1.58,0,0.3,0,0.69,0.1,1.39,1.39,1.09,0.1,0.1,0,0.1,0,0.2,0.2,0,0,0,0,0,0.69,0.4,0.59,0.1,0,0.5,1.39,35.7,0.89,22.2,5.64,25.4,2.38,10.5,9.31,0.69,0.1,0.59,0.69,0.59,0,34.2,0.89,4.06,16.3,15.6,4.36,0.026023392,0.11871345,0.476608187,0.456140351,0.12748538,32.7,1.19,2.67,44.4,1.39,0,20.7,95.8,49.9,2.67,1.09,0.4,3.47,2.48,48.7,25,51.4,6.53
Matthis Abline,fr FRA,Centre-Forward,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,1,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,100,1,0,2,7,3,0,0,0,0,0,1,1,100,0
Pape Cheikh Diop,sn SEN,Central Midfield,MF,Dijon,fr Ligue 1,22,1997,21,13,"1,089",12.1,0,0,0,0.06,0.03,0.09,0.5,0,0,0,,19.6,0,0.07,-0.03,44.2,50.6,87.4,831,177.9,16.6,19.2,86.6,21.7,23.1,93.6,5.12,7.02,72.9,0.74,3.06,0.5,0,3.47,49.2,1.4,1.32,0.08,9.92,1.24,0.08,40.4,5.54,4.63,6.53,41.7,1.49,0.08,0.08,0.08,0.41,0.91,0.74,1.65,1.24,0,0,0.08,0.33,0,0.08,0,0,0,0,0.08,0,1.49,1.4,0.99,0.41,0.08,0.58,2.48,23.3,1.9,17.8,5.21,29.3,6.03,9.01,2.73,1.49,0.25,1.24,0.5,0.91,0,58.8,2.31,17.6,38.2,7.19,0.41,0.039285714,0.299319728,0.649659864,0.122278912,0.006972789,57.9,0.83,1.24,66.7,0.91,0,40.2,217.9,122.8,4.21,0.58,0.08,0.66,1.16,44.6,41.6,93.1,0.66
